id;channel;descripcion
22;Canal 22;Canal 22 es una televisora pública que difunde e impulsa las mejores expresiones artísticas y culturales de México y el mundo, basada en el fomento de valores como la inclusión, la pluralidad y la visión crítica. En la pantalla de Canal 22 se transmite la cultura entendida desde una visión amplia, que incluye diversas formas y manifestaciones, a través del cine, series, documentales, ciencia, historia, música, gastronomía, humor, noticias, debate y programación infantil. además de producciones propias y series emblemáticas de la más alta calidad y temáticas variadas.
23;Canal 22.2;La programación se vuelve independiente de las señales del 22.1, la señal nacional y la señal internacional para expandir la oferta de contenido cultural a sus audiencias. Su programación es distinta y se conforma por contenido del archivo del canal, así como la retransmisión de manera diferida de varios programas del 22.1.
24;Canal 4 (GDL);El Canal 4 de Guadalajara es un canal de televisión de origen mexicano que transmite noticias, reportajes, programas de cocina y de espectáculos. hace parte de los canales de Televisa Regional. Estas estaciones producen programación propia local y generalista como noticias, musicales, deportes, variedades, opinión, programas juveniles y revista. También programan material de archivo de Televisa como películas y series y se llegan a enlazar con otras cadenas de Televisa para retransmitir cierta programación.
25;Canal 4 (Televisa Mty);El Canal 4 de Monterrey es un canal de televisión que transmite al televidente una programación compuesta por noticias, deportes, farándula y entretenimiento hace parte de los canales de Televisa Regional. Estas estaciones producen programación propia local y generalista como noticias, musicales, deportes, variedades, opinión, programas juveniles y revista. También programan material de archivo de Televisa como películas y series y se llegan a enlazar con otras cadenas de Televisa para retransmitir cierta programación.
26;Canal 5;Su programación está orientada al público infantil y juvenil. aunque en los horarios nocturnos suele incluir un concepto más general con series de televisión y reality shows. A lo largo de las décadas entre su programación, se incluye gran cantidad de series compradas a cadenas como Nickelodeon, Cartoon Network, entre otras. mientras que las series orientadas al público en general suelen provenir de compañías como Paramount Network, FOX, Warner Bros., ViacomCBS, MTV, NBCUniversal y Univision, entre otras. Asimismo, el canal también transmite series producidas por la empresa Televisa, la cual es propietaria del canal.
27;Canal 7 (Slp);El Canal Azteca 7 es un canal de televisión que transmite al televidente telenovelas, deportes, películas, series y reportajes.
28;Canal 7 Un Canal de 10;vacio
29;Canal 8 (Televisa MTY);Televisión Independiente de México fue una cadena de televisión comercial en México. La cadena operó hasta 1973, año en el cual se fusiona con su principal adversario. Se caracterizó por ser la primera competencia real para Telesistema Mexicano con su programación novedosa y exitosa con series como El Chavo del Ocho y lanzar a personalidades como Raúl Velasco y el comentarista deportivo, José Ramón Fernández. Hoy forma parte del consorcio Televisa, mientras que la mayoría de sus afiliadas de Telecadena Mexicana fueron expropiadas por el Gobierno Mexicano, al desaparecer la cadena para formar Televisa.
30;Canal Catorce;"La estación de radio o televisión de una dependencia o entidad de la Administración Pública Federal, que opera mediante concesión, cuyo contenido programático se basa en la pluralidad política, cultural y social del país y que tiene por objeto promover la educación, los valores democráticos, el servicio social, la información veraz y objetiva y la participación ciudadan. La programación del canal está basada en la difusión de espacios informativos, culturales, científicos, educativos, de servicio público, información ciudadana y producciones internacionales que buscan cubrir una serie de ejes de programación basados en: creatividad, arte, cultura, memoria, ficción histórica, historia, ideas, participación, diálogos, innovación, ecología, tecnología, igualdad, inclusión, superación, territorios, identidad y patrimonio.
En el caso de los programas noticiosos se destacan el noticiero denominado México al día el cual se transmite en conjunto con otras redes de televisión pública del país y SPR Noticias, la programación incluye además otros espacios de actualidad creados por canales públicos internacionales como France 24.
Los aspectos culturales del canal se enfocan en la difusión de ciclos de cine y documentales, programas de debate, espacios dedicados a la música nacional e internacional, difusión del trabajo de algunos creadores nacionales y emisiones de espacios que muestran las costumbres y formas de vida de distintos puntos de la geografía mexicana.

En cuanto a programación deportiva, el canal cuenta con los derechos de emisión de los partidos de la Liga de Fútbol Americano Profesional de México y de algunos equipos de la Organización Nacional Estudiantil de Fútbol Americano. En el 2016 contó con los derechos de transmisión de los Juegos Olímpicos de Río de Janeiro junto con otros canales de televisión pública nacional. En su señal también se difunden algunos programas de difusión educativa enfocados en los deportes."
31;Canal del Congreso 2019*;El valor de los televidentes del Canal del Congreso es, desde una perspectiva social, ma?s relevante para la democracia y la participacio?n ciudadana, pues, contribuye a fijar los temas de la agenda nacional, provoca la discusio?n pu?blica de las diversas posiciones poli?ticas, da vida a las pra?cticas de parlamento abierto y contribuye a la formacio?n ci?vica de nuevas generaciones. Pose? tambie?n un claro esfuerzo democratizador. transmite sin cortes ni ediciones los debates parlamentarios y re- produce i?ntegramente las expresiones de las diversas fuerzas poli?ticas nacionales. 
32;Canal Judicial;Canal de televisión producido por la Suprema Corte de Justicia de la Nación. Su principal objetivo es la difusión de la actividad del Poder Judicial de la Federación.Actualmente, además de continuar con la difusiones de las sesiones del pleno, también se producen programas educativos referentes a la impartición de justicia y también se emiten programas culturales y películas
33;Canal Once;Canal 11 es la primera cadena de televisión educativa y cultural de México. Canal Once ha producido varias series de ficción y renombre, entre ellas se encuentran las series infantiles El diván de Valentina, Camino a casa, Cuentos de pelos y Woki Tokis, y comedias de situación con enfoque familiar, como Fonda Susilla. Las hubo con un enfoque educativo, a la vez que promocionaron las distintas regiones del país como Por Caminos y Brechas, conducido por el actor Arsenio Campos, que han sido un gran éxito con los niños por sus guiones. XY, que cuestiona el estereotipo masculino y aborda temas como la infidelidad, homosexualidad, problemas económicos y desempleo. Bienes raíces, que trata de una manera muy innovadora sobre todos aquellos cambios que surgen al cambiar de casa. Soy tu fan, una adaptación de una serie argentina producida y protagonizada por Dolores Fonzi. Los Minondo, que es una serie histórica.
34;Capital 21;La programación del canal incluye programas culturales y de entretenimiento dirigida a la población de la Ciudad de México. El canal cuenta con una serie de noticieros, programas de revista, de turismo, cultura, salud, entre otros.
35;Cartoon Network;"La mayor parte de la programación actual del canal son producciones originales, realizadas por Cartoon Network Studios en Estados Unidos, con novedades y adaptaciones especializadas para el público residente en Latinoamérica. Desde su lanzamiento, ha combinado los dibujos animados originales con la adquisición de nuevas series. 
Entre los programas que emitió se incluyen las series originales del canal, tales como Las Chicas Superpoderosas, El laboratorio de Dexter, La vaca y el pollito, Johnny Bravo, Ed, Edd y Eddy, Soy la Comadreja, Coraje, el perro cobarde, Las sombrías aventuras de Billy y Mandy, Mansión Foster para amigos imaginarios, Hora de Aventura y Un Show Más.
Actualmente emite nuevas series y algunas nuevas versiones de estas, tales como El increíble mundo de Gumball, Escandalosos, Ben 10 (2016), Manzana y Cebollin, El mundo de Craig, Víctor y Valentino, Mao Mao: Héroes de puro corazón."
36;Cine Latino;Basa su programación en películas en español.  Cinelatino transmite lo mejor en películas hispanas, con éxitos de taquilla y películas aclamadas por la crítica de México, Latinoamérica y España. También cuenta con escenas detrás de cámaras, entrevistas con estrellas del cine, la cobertura exclusiva de los festivales de cine de España y las últimas noticias de la industria del cine hispano.
37;Cine Mexicano;El Canal Cine Mexicano es un canal de televisión de origen mexicano que transmite películas clásicas mexicanas de las décadas de los años 30´s, 40´s, 50´s, 60´s, 70´s, 80´s y 90´s.
38;Cinecanal;El Canal Cinecanal (México) es un canal de televisión que en su programación transmite películas de varios géneros. 
39;Cinemax;"Cinemax también se enfocaba en la transmisión de películas, series y miniseries galardonadas en la actualidad y en el pasado. Además se caracterizaba por su elevado contenido independiente en sus transmisiones. las películas que no llegan a los cines y que tampoco se exhibían en ningún otro canal.
Encuentra en Cinemax las mejores películas de hollywood, estrenos de cine y lo más reciente de las producciones mundiales"
40;Claro Sports;Basa su programación en deportes. Su parrila cuenta con programas informativos, analisis y rendimiento en las diferentes disciplinas y partidos/carreras/torneos. Transmire las competencias multideportivas (Olímpicos, Panamericanos, etc)
41;CNN Espanol;"Canal de noticias. Dentro de su programación se encuentra principalmente noticias y charlas/entrevistas sobre la actualidad, sin emrgo, tambien emiten contenido relacionado con deporte y en algunos casos entretenimiento.
Ahora, breve segmento que resume las principales noticias y se emite durante los programas especializados. Los fines de semana y en horario de trasnoche, este segmento es emitido cada media hora.
Aristegui: Conversación diaria con una personalidad del ambiente político, económico y cultural de México, ocasionalmente con invitados del resto de América.
Béisbol de Grandes Ligas: Transmisión simultánea con TBS USA de los partidos de las Grandes Ligas en español. (Sólo para los Estados Unidos)
Café CNN: Revista matinal de eventos de actualidad y noticias de salud, arte, culinaria, cultura, de interés humano y meteorología, en una combinación de noticias y entretenimiento.
Camilo: Entrevista diaria a los personajes más reconocidos de Latinoamérica.
Choque de opiniones: Dos invitados enfrentan sus visiones de un tema en controversia.
Clix: Programa enfocado a la tecnología, internet y computación.
CNN dinero: Análisis de los asuntos financieros más importantes del día.
CNN Primera Mañana: Matutino emitido desde la Cdad. de Bs.Aires, en Duplex con LR3 CNN Radio Argentina.
Conclusiones: un resumen de los hechos más importantes del día con analistas y reflexiones.
Deportes CNN: un resumen diario del mundo deportivo, con énfasis principal en el fútbol.
Destinos: Un viaje alrededor de los destinos turísticos más cautivantes y exóticos del planeta.
Directo USA: Noticias del día en Estados Unidos, que repercuten en Latinoamérica y el mundo.
Documentales CNN:
En desarrollo: Emisión en directo de una noticia importante que se algo preve. que en alguna parte de América Latina, Estados Unidos o del Mundo, se informa, como por ejemplo las asunciones de algún presidente latinoamericano.
En diálogo con Longobardi
Encuentro: Análisis diario de temas de actualidad con entrevistados.
Europa hoy: Segmento de Nuestro Mundo en el que se hace una revisión de las noticias más importantes en Europa.
Fuentes confiables:
GloboEconomía: La perspectiva de la actualidad econónica mundial. Fue producido por CNN+ hasta 2010.
La noticia de la semana: Resumen informativo de la semana, con las diferentes aristas de las noticias.
Lo último: La información de último minuto que CNN en Español entrega a sus televidentes diariamente, desde el lugar donde se produce la noticia.
Mirador mundial: El noticiario del fin de semana de CNN, con las informaciones del momento.
Nuestro mundo: semanal.
Realidades en contexto:
Perspectivas desde Buenos Aires:
Perspectivas desde México:
Portafolio global:
Panorama mundial: Resumen informativo de lo que dejó la jornada alrededor del mundo.
Vive la salud: Presenta lo último en salud, medicina y bienestar.
Showbiz: Informa y analiza a manera de charla virtual lo más comentado y lo más controversial de la vida de las celebridades.
Vive el golf (mensual): Programa dedicado a este deporte, con entrevistas, visitas de campos de golf y consejos de juego"
42;Comedy Central;Canal enfocado en la emisión de series de comedia para jóvenes y adultos, tanto de producción extranjera como local. Su parrilla está compuesta por seríes de comedia como South Park o The Office, así como también realityshows como Rupaul carrera de Drag Queens
43;De Pelicula;Canal especializado en emitir cine clásico mexicano, y también del nuevo cine mexicano.
44;Discovery Channel;Canal temático líder en contenidos de no-ficción en la televisión de pago y un canal de referencia para el hombre joven. Es un canal premium que ofrece el `Entretenimiento Inteligente´ y provee programación de alta calidad en las áreas de ciencia, ingeniería, tecnología, motor, aventura y estilos de vida, buscando siempre el doble objetivo de inspirar y entretener a la audiencia.
45;Discovery Home & Health;Presenta programas dedicados a la salud, decoración, compras, belleza y culinaria. Dentro de la parrilla se encuentran programas como: Hermanos  a la obra, Vender para comprar, Celebraciones VIP, Error en mi diagnostico, Especialista en piel tonificada, Cake Boss, Master Cheff, 
46;Discovery Kids;Canal enfocado a la audiencia infantil. Principalemnte el formato son series diseñadas para educar a la audiencia. La programación pasaría por variaciones, emitiendo programas destinados a un público de niños de hasta 10 años. En 2012 incorporó un bloque de películas
47;Disney Channel;Se comercializa principalmente a niños. sin embargo, en los últimos años la diversidad de espectadores se ha expandido para incluir una audiencia mayor. Su parrilla se compone principalemente de series y peliculas. Series producidas por Walt Disney Television Animation y Disney Channel Original Series ocupan la mayor parte del horario. También se emitieron algunas series no originales, como Patito Feo, Casi Ángeles, ¿Por qué a mí?, Los Padrinos Mágicos, Chiquititas, A Kind of Magic, El Show Secreto, The Next Step, Floricienta, George de la selva y más recientemente Miraculous: Las aventuras de Ladybug. También hay series originales producidas localmente, como Cuando toca la campana, Soy Luna, Violetta, Once y Bia. 
48;Disney Junior;Aimed mainly at children 2–7 years old,its programming consists of original first-run television series, theatrically-released and home media-exclusive movies and select other third-party programming. Programming on the Disney Junior channel includes original series (such as Vampirina), shows formerly seen on the now-defunct Playhouse Disney block (such as Mickey Mouse Clubhouse), plus re-runs of former original shows (such as Doc McStuffins) - including some that also air on the companion Disney Channel morning block and short-form series, as well as reruns of some older animated series that had previously been seen on sister network ABC, CBS (made prior to 1996) and programs from Disney Channel and Toon Disney, which are aired by the channel by popular demand (especially during the overnight graveyard slot). However, the channel also carries several non-Disney preschool shows (such as PJ Masks and Bluey).
49;Disney XD;Series originales y antiguas en un solo lugar para la diversión y educación de los más pequeños enfocado a la audiencia de 7 a 14 años. El canal emite programación infantil y juvenil que consiste en series animadas y de acción bajo la biblioteca audiovisual de Disney, Marvel y Lucasfilm.
50;Distrito Comedia;"El Canal Distrito Comedia es un canal de televisión humorístico operado por Televisa Networks, en donde se viven los clásicos y comedia contemporánea de habla hispana. El Canal Distrito Comedia actualmente transmite exitosas producciones cómicas de antaño y producciones cómicas actuales.
The channel broadcast classic comedy show (from 1970's to 1990's), contemporary comedy shows (2000's) and original comedy shows (2010's). Distrito Comedia (launched October 1, 2012) broadcast only Mexican comedy shows and sitcoms from Televisa."
51;E! Entertainment;Canal en que se transmiten trailers de películas, noticias de entretenimiento y cubrían eventos, premiaciones, belleza, reality show y entrevistas. Dentro de su parrilla hay programas como Keeping Up with the Kardashians, Botched, E! True Holliwood Stories, Hollywood Medium with Tyler Henry.
52;EDGE;"La programación de Golden EDGE, consiste en la exhibición de series y películas dirigidas a un público especialmente para adolescentes, jóvenes y adultos.
Golden Edge cuenta con franjas de programación:
Xtra Charge: Películas de estreno.
Full Golden: Películas de acción, suspenso y comedia ácida.
Double Shot: Dos películas del mismo título.
Ciclos de películas y clásicos: Las mejores películas de todos los tiempos."
53;El Gourmet;Canal dedicado a la gastronomía. Su catalogo consta de programas recetas de reposteria, comida sana gastronomia tradicional local y gastronomía internacional
54;ESPN;Canal  especializado en deportes.  Transmite programas deportivos en diferentes formatos de diferentes modalidades: football, golf, tenis acuaticos, deportes extremos, motorizados, hipicos, etc
55;ESPN 2 (Mult09);Canal que emite contenido deportivo, centrado en el fútbol, tenis y rugby. Se enfoca en transmitir todo tipo de deporte en vivo y programas con debates y análisis deportivo.
56;ESPN 3;"Es un servicio de streaming de programas deportivos de la cadena ESPN para clientes de Estados Unidos. ESPN3.com transmite entre otros torneos el fútbol americano universitario, baloncesto universitario de la NCAA, la NBA, Copas Mundiales de la FIFA, clasificación al mundial, la Premier League, la Serie A de Italia, la Liga de España y otras grandes ligas del fútbol internacional, los cuatro ""Grand Slam"" eventos de tenis, campeonatos de golf, el rugby mundial, la Major League Lacrosse y los nacionales de Ultimate Frisbee. Unos transmitidos por ESPN ESPN2 y otros exclusivos de ESPN3.
El Canal ESPN 3 (Colombia) es un canal de televisión por suscripción de origen estadounidense que transmite al televidente todo tipo de deporte en vivo,también se enfoca en emitir debates y análisis deportivos"
57;Film & Arts;"Canal dedicado exclusivamente al arte, la cultura, el entretenimiento, el cine, la música, el teatro, y otros espectáculos artísticos y culturales.
La programación comprende series originales, predominantemente del género policial, programas teatrales, películas clásicas y actuales, musicales y documentales, las artes escénicas y eventos especiales, como los premios Tony e incluso conciertos de cantantes de renombre internacional.
Entre los programas más importantes del canal tenemos: Inside The Actors Studio, Downton Abbey, Inspector Morse, Live At The Rehearshall Hall, Movies 101, Vincent, Perfil, Absolutely Fabulous, El Poder del Arte, Leyendas del Jazz, Walk On By, Later... with Jools Holland, Ciclo de Cine de Colección, Star Movies, Concierto, Danza entre otros."
58;Foro Tv;"Canal enfocado principalmente a los noticieros.
Somos un equipo de investigadores, creativos y realizadores que busca generar distintas herramientas didácticas para comprender, criticar y actuar sobre las historias de las que todos formamos parte.
Presentando la información con la rapidez y profundidad que le caracterizan. pero también abre el espacio a otras voces, tanto jóvenes como expertas, que aportan enfoques distintos sobre cada hecho. De esta manera, tendemos puentes entre generaciones, posturas y ángulos para ofrecer una imagen panorámica de la noticia."
59;Fox Channel;"Está orientado principalmente al público familiar. Fox presenta todas las series con su nombre original, exceptuando Los Simpson y Futurama, desde 2007 mantiene su bloque nocturno No molestar!. Sus bloques de programación son:
Cine FOX
No molestar!
Franja Disney Junior (sólo Feed México)
Domingos Fanimados
Especial Ensagados
Es un canal de televisión que transmite series y películas de varios géneros de producciones originales e independientes enfocados para toda la familia"
60;Fox Life;Actualmente la programación del canal se compone de series y películas dirigidos al público joven y adulto, con producciones que se destaquen en los papeles protagónicos. La parrilla se compone principalemente de series como La ley y el orden, CSI,  NCSI, S.W.A.T, Modern Family
61;Fox Sports;Canal deportivo con cobertura especial en Football, Automovilismo, Box y Baseball 
62;Fox Sports 2;Nace en 2009 con el nombre de Fox Sports+ para poder transmitir partidos de la UEFA Champions League, Europa League, entre otros eventos. La señal Norte de Fox Sports+ comenzó sus transmisiones como un canal de transmisión ininterrumpida, en contraste con la Señal Sur. A partir del 5 de noviembre de 2012 este canal pasó a llamarse Fox Sports 2 como un canal de programación ininterrumpida.
63;Fox Sports 3;"Fox Sports 3 Latinoamérica es el nuevo canal de Fox específicamente Fox Sports para Latinoamérica que inicia sus transmisiones el 5 de noviembre de 2012.
Fox Sports 3 Latinoamérica es el canal que antiguamente se le conocía como SPEED pero ahora este canal ya no solo transmite eventos de vehículos automotrices si no también la UFC y fútbol.
The network focuses on sports-related programming including live and pre-recorded event broadcasts, sports talk shows and original programming, available throughout Latin America. "
64;FX;"Canal orientado a jóvenes y adultos. Emite series de acción, de comedia, animadas para adultos y películas
Dentro de su parrilla se encuentra:
American Crime Story
American Dad!
American Horror Story
Berlin Station
Bless the Harts
Bob's Burgers
Padre de familia
Ghosted
Heathers
El último hombre sobre la tierra
Orville: Nave Interestelar
Perfect Harmony"
65;FXM;Canal con programación basada en películas. 
66;Gala Tv;"Su programación es generalista y está compuesta principalmente de programas del archivo de Televisa, películas del cine mexicano, eventos deportivos y telenovelas latinoamericanas, tanto nacionales como internacionales, principalmente de las cadenas estadounidenses, Univisión y Telemundo. También presenta programas de entretenimiento de producción local y producciones de Univisión y Telemundo.
Sus contenidos abarcan notiicieros, deportes, telenovelas, programas cómicos, peliculas y eventos especiales. Permite al publico encontrar siempre entretenimiento y diversión con un toque de nostalgía, ya que da espacios a exitos de antaño de Televisa."
67;Glitz;Glitz es un canal de televisión por suscripción latinoamericano enfocado en entretenimiento local para todo público de la audiencia latinoamericana, reúne los formatos y géneros más reconocidos de la televisión abierta. La mejor opción de entretenimiento para todo público, que reúne los formatos y géneros de la TV abierta más reconocidos en un solo canal.
68;Golden;"Golden, es un canal de televisión por suscripción de origen mexicano operado por Televisa Networks, subsidiaria de Televisa. Tiene cobertura en toda América Latina. La programación de Golden se centra en la emisión de largometrajes realizadas en los estudios de Hollywood para todas las edades, además de películas mexicanas y series latinoamericanas cerca de la medianoche como El cartel, Infieles, La Madame, Escobar, el patrón del mal entre otras, la mayoría de drama y narconovelas y son producidas en Colombia, México y Estados Unidos. Su oferta se completa con eventos especiales como retransmisiones de conciertos y peleas de boxeo en vivo.

Este canal transmite películas de los estudios Universal Pictures, Sony Pictures, Paramount Pictures, Metro-Goldwyn-Mayer, Lionsgate, DreamWorks SKG, The Weinstein Company, Disney y DreamWorks Animation SKG películas mexicanas hechas por Televisa o por otros estudios."
69;H2;History 2 (o simplemente H2) es un canal de televisión por suscripción latinoamericano de origen estadounidense que emite documentales históricos con un enfoque internacional. Es el canal hermano de History.
70;HBO;Home Box Office, (abreviado como HBO), es un canal de televisión por suscripción latinoamericano de origen estadounidense, que inició operaciones el 31 de octubre de 1991. Emite series originales, documentales y películas taquilleras de estreno. Es operado por HBO Latin America Group
71;HBO 2;es un canal de televisión por suscripción latinoamericano de origen estadounidense propiedad de HBO Latin America, filial de HBO (subsidiaria de WarnerMedia). Inició sus emisiones en 1990 en Estados Unidos como parte del nuevo servicio multiplex de HBO hasta 1998, donde fue relanzado como HBO Plus. En 2002, vuelve a relanzarse como HBO 2. Su programacion es cine en español.
72;History Channel;History es un canal de televisión por suscripción propiedad de A&E Networks. El canal, en sus primeros años, emitía documentales y series de ficción de género histórico como parte de su programación. Actualmente, ha emitido programación no relacionada con la historia. como por ejemplo, series como Pawn Stars, Ax Men, programas de telerrealidad. Varios científicos, historiadores y espectadores escépticos han criticado al canal por emitir pseudo documentales y programación de investigación sensacionalista, como Ancient Aliens, UFO Hunters, Brad Meltzer's Decoded y Efecto Nostradamus.
73;Hola TV;es un canal de televisión por suscripción latinoamericano de origen español, el cual está dirigido al público femenino. Fue lanzado en 2013 y está basada en la revista ¡Hola!. Su programación consiste en programas orientados a las celebridades y el estilo de vida.
74;ID Investigation Discovery;Investigation Discovery es un canal de televisión por suscripción, operado por Discovery Inc. El canal ofrece programación con respecto a investigaciones criminales, principalmente las investigaciones de homicidios y otros documentales relacionados con delitos.
75;Imagen Tv;es una cadena comercial de televisión abierta mexicana. Es propiedad de Grupo Imagen, empresa responsable de la ahora extinta cadena de televisión, cadenatres. Su programación es de entretenimiento general, particularmente dirigida a las amas de casa, ya que gran parte de su programación de lunes a viernes, la ocupan telenovelas (en su mayoría, de origen brasileño y turco). Además de estos programas, cuentan con 3 espacios de noticias, siendo conducidos por Francisco Zea (matutino), Yuriria Sierra (vespertino) y Ciro Gómez Leyva (nocturno), siendo este último el estelar.
76;Ingenio Tv;"es un canal de televisión abierta mexicano de enfoque cultural, producida por la Dirección General de Televisión Educativa de la Secretaría de Educación Pública, cuyas transmisiones iniciaron el 1 de septiembre de 2012. La programación del canal se basa en la transmisión de programas educativos, de divulgación y culturales enfocados en la difusión de educación a distancia a los televidentes con el objetivo de ser una señal que ""afianza la calidad educativa con el desarrollo de valores, habilidades y las competencias básicas que impulsan el aprendizaje permanente"".
Se destaca la importancia dentro de la barra de programación de las emisiones de la Telesecundaria y el llamado Telebachillerato. Estos espacios son complementados con contenidos de debate, ciencia, noticieros, series, telenovelas y programas unitarios que son denominados bajo el nombre de ""entretenimiento educativo"" ."
